[0.011s][info][gc,heap] Heap region size: 1M
[1.454s][info][gc,heap      ] GC(11) Survivor regions: 2->2(2)
[1.454s][info][gc,heap      ] GC(11) Old regions: 214->225
[1.454s][info][gc,heap      ] GC(11) Humongous regions: 0->0
[1.454s][info][gc,metaspace ] GC(11) Metaspace: 10379K->10379K(1058816K)
[1.454s][info][gc           ] GC(11) Pause Young (Normal) (G1 Evacuation Pause) 225M->226M(256M) 48.847ms
[1.454s][info][gc,cpu       ] GC(11) User=0.23s Sys=0.00s Real=0.05s
[1.462s][info][gc,start     ] GC(12) Pause Young (Normal) (G1 Evacuation Pause)
[1.462s][info][gc,task      ] GC(12) Using 6 workers of 8 for evacuation
[1.508s][info][gc,phases    ] GC(12)   Pre Evacuate Collection Set: 0.0ms
[1.508s][info][gc,phases    ] GC(12)   Evacuate Collection Set: 45.8ms
[1.508s][info][gc,phases    ] GC(12)   Post Evacuate Collection Set: 0.1ms
[1.508s][info][gc,phases    ] GC(12)   Other: 0.1ms
[1.508s][info][gc,heap      ] GC(12) Eden regions: 10->0(10)
[1.508s][info][gc,heap      ] GC(12) Survivor regions: 2->2(2)
[1.508s][info][gc,heap      ] GC(12) Old regions: 225->235
[1.508s][info][gc,heap      ] GC(12) Humongous regions: 0->0
[1.508s][info][gc,metaspace ] GC(12) Metaspace: 10379K->10379K(1058816K)
[1.508s][info][gc           ] GC(12) Pause Young (Normal) (G1 Evacuation Pause) 236M->237M(256M) 46.158ms
[1.508s][info][gc,cpu       ] GC(12) User=0.28s Sys=0.00s Real=0.05s
[1.864s][info][gc,marking   ] GC(7) Concurrent Mark From Roots 682.196ms
[1.864s][info][gc,marking   ] GC(7) Concurrent Preclean
[1.864s][info][gc,marking   ] GC(7) Concurrent Preclean 0.105ms
[1.864s][info][gc,marking   ] GC(7) Concurrent Mark (1.182s, 1.864s) 682.379ms
[1.865s][info][gc,start     ] GC(7) Pause Remark
[1.865s][info][gc,stringtable] GC(7) Cleaned string and symbol table, strings: 3769 processed, 4 removed, symbols: 36669 processed, 0 removed
[1.865s][info][gc            ] GC(7) Pause Remark 241M->241M(256M) 0.852ms
[1.865s][info][gc,cpu        ] GC(7) User=0.00s Sys=0.00s Real=0.00s
[1.865s][info][gc,marking    ] GC(7) Concurrent Rebuild Remembered Sets
[2.071s][info][gc,marking    ] GC(7) Concurrent Rebuild Remembered Sets 205.214ms
[2.071s][info][gc,start      ] GC(7) Pause Cleanup
[2.071s][info][gc            ] GC(7) Pause Cleanup 241M->241M(256M) 0.125ms
[2.071s][info][gc,cpu        ] GC(7) User=0.00s Sys=0.00s Real=0.00s
[2.071s][info][gc,marking    ] GC(7) Concurrent Cleanup for Next Mark
[2.071s][info][gc,marking    ] GC(7) Concurrent Cleanup for Next Mark 0.256ms
[2.071s][info][gc            ] GC(7) Concurrent Cycle 891.563ms
[13.857s][info][gc,start      ] GC(13) Pause Young (Normal) (G1 Evacuation Pause)
[13.857s][info][gc,task       ] GC(13) Using 6 workers of 8 for evacuation
[13.912s][info][gc            ] GC(13) To-space exhausted
[13.912s][info][gc,phases     ] GC(13)   Pre Evacuate Collection Set: 0.0ms
[13.912s][info][gc,phases     ] GC(13)   Evacuate Collection Set: 50.2ms
[13.912s][info][gc,phases     ] GC(13)   Post Evacuate Collection Set: 4.0ms
[13.912s][info][gc,phases     ] GC(13)   Other: 0.2ms
[13.912s][info][gc,heap       ] GC(13) Eden regions: 10->0(10)
[13.912s][info][gc,heap       ] GC(13) Survivor regions: 2->2(2)
[13.912s][info][gc,heap       ] GC(13) Old regions: 235->246
[13.912s][info][gc,heap       ] GC(13) Humongous regions: 0->0
[13.912s][info][gc,metaspace  ] GC(13) Metaspace: 10379K->10379K(1058816K)
[13.912s][info][gc            ] GC(13) Pause Young (Normal) (G1 Evacuation Pause) 247M->248M(256M) 54.668ms
[13.912s][info][gc,cpu        ] GC(13) User=0.28s Sys=0.00s Real=0.06s
[19.182s][info][gc,start      ] GC(14) Pause Young (Concurrent Start) (G1 Evacuation Pause)
[19.182s][info][gc,task       ] GC(14) Using 6 workers of 8 for evacuation
[19.205s][info][gc            ] GC(14) To-space exhausted
[19.205s][info][gc,phases     ] GC(14)   Pre Evacuate Collection Set: 0.0ms
[19.205s][info][gc,phases     ] GC(14)   Evacuate Collection Set: 15.4ms
[19.205s][info][gc,phases     ] GC(14)   Post Evacuate Collection Set: 7.0ms
[19.205s][info][gc,phases     ] GC(14)   Other: 0.2ms
[19.205s][info][gc,heap       ] GC(14) Eden regions: 8->0(12)
[19.205s][info][gc,heap       ] GC(14) Survivor regions: 2->0(2)
[19.205s][info][gc,heap       ] GC(14) Old regions: 246->256
[19.205s][info][gc,heap       ] GC(14) Humongous regions: 0->0
[19.205s][info][gc,metaspace  ] GC(14) Metaspace: 13971K->13971K(1062912K)
[19.205s][info][gc            ] GC(14) Pause Young (Concurrent Start) (G1 Evacuation Pause) 256M->256M(256M) 22.865ms
[19.205s][info][gc,cpu        ] GC(14) User=0.17s Sys=0.03s Real=0.02s
[19.205s][info][gc            ] GC(15) Concurrent Cycle
[19.205s][info][gc,marking    ] GC(15) Concurrent Clear Claimed Marks
[19.205s][info][gc,marking    ] GC(15) Concurrent Clear Claimed Marks 0.052ms
[19.205s][info][gc,marking    ] GC(15) Concurrent Scan Root Regions
[19.205s][info][gc,marking    ] GC(15) Concurrent Scan Root Regions 0.012ms
[19.205s][info][gc,marking    ] GC(15) Concurrent Mark (19.205s)
[19.205s][info][gc,marking    ] GC(15) Concurrent Mark From Roots
[19.205s][info][gc,task       ] GC(15) Using 2 workers of 2 for marking
[19.209s][info][gc,task       ] GC(16) Using 6 workers of 8 for full compaction
[19.209s][info][gc,start      ] GC(16) Pause Full (G1 Evacuation Pause)
[19.210s][info][gc,phases,start] GC(16) Phase 1: Mark live objects
[19.460s][info][gc,stringtable ] GC(16) Cleaned string and symbol table, strings: 7390 processed, 641 removed, symbols: 47715 processed, 3 removed
[19.460s][info][gc,phases      ] GC(16) Phase 1: Mark live objects 249.831ms
[19.460s][info][gc,phases,start] GC(16) Phase 2: Prepare for compaction
[19.500s][info][gc,phases      ] GC(16) Phase 2: Prepare for compaction 39.705ms
[19.500s][info][gc,phases,start] GC(16) Phase 3: Adjust pointers
[19.581s][info][gc,phases      ] GC(16) Phase 3: Adjust pointers 80.843ms
[19.581s][info][gc,phases,start] GC(16) Phase 4: Compact heap
[19.628s][info][gc,phases      ] GC(16) Phase 4: Compact heap 47.690ms
[19.629s][info][gc,heap        ] GC(16) Eden regions: 0->0(12)
[19.629s][info][gc,heap        ] GC(16) Survivor regions: 0->0(2)
[19.629s][info][gc,heap        ] GC(16) Old regions: 256->236
[19.629s][info][gc,heap        ] GC(16) Humongous regions: 0->0
[19.629s][info][gc,metaspace   ] GC(16) Metaspace: 13971K->13579K(1062912K)
[19.629s][info][gc             ] GC(16) Pause Full (G1 Evacuation Pause) 256M->233M(256M) 419.778ms
[19.630s][info][gc,cpu         ] GC(16) User=2.25s Sys=0.11s Real=0.42s
[19.630s][info][gc,marking     ] GC(15) Concurrent Mark From Roots 424.886ms
[19.630s][info][gc,marking     ] GC(15) Concurrent Mark Abort
[19.630s][info][gc             ] GC(15) Concurrent Cycle 425.078ms
[71.151s][info][gc,start       ] GC(17) Pause Young (Normal) (G1 Evacuation Pause)
[71.151s][info][gc,task        ] GC(17) Using 6 workers of 8 for evacuation
[71.180s][info][gc,phases      ] GC(17)   Pre Evacuate Collection Set: 0.0ms
[71.180s][info][gc,phases      ] GC(17)   Evacuate Collection Set: 27.7ms
[71.180s][info][gc,phases      ] GC(17)   Post Evacuate Collection Set: 0.3ms
[71.180s][info][gc,phases      ] GC(17)   Other: 0.2ms
[71.180s][info][gc,heap        ] GC(17) Eden regions: 12->0(10)
[71.180s][info][gc,heap        ] GC(17) Survivor regions: 0->2(2)
[71.180s][info][gc,heap        ] GC(17) Old regions: 236->242
[71.180s][info][gc,heap        ] GC(17) Humongous regions: 0->0
[71.180s][info][gc,metaspace   ] GC(17) Metaspace: 14320K->14320K(1062912K)
[71.180s][info][gc             ] GC(17) Pause Young (Normal) (G1 Evacuation Pause) 245M->240M(256M) 28.347ms
[71.180s][info][gc,cpu         ] GC(17) User=0.19s Sys=0.00s Real=0.03s
[146.433s][info][gc,start       ] GC(18) Pause Young (Concurrent Start) (G1 Evacuation Pause)
[146.433s][info][gc,task        ] GC(18) Using 6 workers of 8 for evacuation
[146.471s][info][gc             ] GC(18) To-space exhausted
[146.471s][info][gc,phases      ] GC(18)   Pre Evacuate Collection Set: 0.0ms
[146.471s][info][gc,phases      ] GC(18)   Evacuate Collection Set: 30.3ms
[146.471s][info][gc,phases      ] GC(18)   Post Evacuate Collection Set: 7.8ms
[146.471s][info][gc,phases      ] GC(18)   Other: 0.2ms
[146.471s][info][gc,heap        ] GC(18) Eden regions: 10->0(11)
[146.471s][info][gc,heap        ] GC(18) Survivor regions: 2->1(2)
[146.471s][info][gc,heap        ] GC(18) Old regions: 242->254
[146.471s][info][gc,heap        ] GC(18) Humongous regions: 0->0
[146.471s][info][gc,metaspace   ] GC(18) Metaspace: 14439K->14439K(1062912K)
[146.471s][info][gc             ] GC(18) Pause Young (Concurrent Start) (G1 Evacuation Pause) 250M->252M(256M) 38.427ms
[146.471s][info][gc,cpu         ] GC(18) User=0.27s Sys=0.02s Real=0.05s
[146.471s][info][gc             ] GC(19) Concurrent Cycle
[146.471s][info][gc,marking     ] GC(19) Concurrent Clear Claimed Marks
[146.471s][info][gc,marking     ] GC(19) Concurrent Clear Claimed Marks 0.040ms
[146.471s][info][gc,marking     ] GC(19) Concurrent Scan Root Regions
[146.472s][info][gc,marking     ] GC(19) Concurrent Scan Root Regions 0.907ms
[146.472s][info][gc,marking     ] GC(19) Concurrent Mark (146.472s)
[146.472s][info][gc,marking     ] GC(19) Concurrent Mark From Roots
[146.472s][info][gc,task        ] GC(19) Using 2 workers of 2 for marking
[146.730s][info][gc,marking     ] GC(19) Concurrent Mark reset for overflow
[147.002s][info][gc,marking     ] GC(19) Concurrent Mark From Roots 529.579ms
[147.002s][info][gc,marking     ] GC(19) Concurrent Preclean
[147.002s][info][gc,marking     ] GC(19) Concurrent Preclean 0.127ms
[147.002s][info][gc,marking     ] GC(19) Concurrent Mark (146.472s, 147.002s) 529.777ms
[147.014s][info][gc,start       ] GC(19) Pause Remark
[147.015s][info][gc,stringtable ] GC(19) Cleaned string and symbol table, strings: 7225 processed, 3 removed, symbols: 48420 processed, 56 removed
[147.016s][info][gc             ] GC(19) Pause Remark 252M->252M(256M) 1.900ms
[147.016s][info][gc,cpu         ] GC(19) User=0.00s Sys=0.00s Real=0.00s
[147.016s][info][gc,marking     ] GC(19) Concurrent Rebuild Remembered Sets
[147.174s][info][gc,marking     ] GC(19) Concurrent Rebuild Remembered Sets 158.153ms
[147.183s][info][gc,start       ] GC(19) Pause Cleanup
[147.183s][info][gc             ] GC(19) Pause Cleanup 252M->252M(256M) 0.155ms
[147.183s][info][gc,cpu         ] GC(19) User=0.00s Sys=0.00s Real=0.00s
[147.183s][info][gc,marking     ] GC(19) Concurrent Cleanup for Next Mark
[147.184s][info][gc,marking     ] GC(19) Concurrent Cleanup for Next Mark 0.388ms
[147.184s][info][gc             ] GC(19) Concurrent Cycle 712.339ms
[152.918s][info][gc,start       ] GC(20) Pause Young (Normal) (G1 Evacuation Pause)
[152.918s][info][gc,task        ] GC(20) Using 6 workers of 8 for evacuation
[152.928s][info][gc             ] GC(20) To-space exhausted
[152.928s][info][gc,phases      ] GC(20)   Pre Evacuate Collection Set: 0.0ms
[152.928s][info][gc,phases      ] GC(20)   Evacuate Collection Set: 7.3ms
[152.928s][info][gc,phases      ] GC(20)   Post Evacuate Collection Set: 2.5ms
[152.928s][info][gc,phases      ] GC(20)   Other: 0.2ms
[152.928s][info][gc,heap        ] GC(20) Eden regions: 1->0(12)
[152.928s][info][gc,heap        ] GC(20) Survivor regions: 1->0(2)
[152.928s][info][gc,heap        ] GC(20) Old regions: 254->256
[152.928s][info][gc,heap        ] GC(20) Humongous regions: 0->0
[152.928s][info][gc,metaspace   ] GC(20) Metaspace: 14435K->14435K(1062912K)
[152.928s][info][gc             ] GC(20) Pause Young (Normal) (G1 Evacuation Pause) 253M->253M(256M) 10.160ms
[152.928s][info][gc,cpu         ] GC(20) User=0.09s Sys=0.00s Real=0.02s
[152.928s][info][gc,task        ] GC(21) Using 6 workers of 8 for full compaction
[152.928s][info][gc,start       ] GC(21) Pause Full (G1 Evacuation Pause)
[152.928s][info][gc,phases,start] GC(21) Phase 1: Mark live objects
[153.162s][info][gc,stringtable ] GC(21) Cleaned string and symbol table, strings: 7222 processed, 359 removed, symbols: 48364 processed, 2 removed
[153.162s][info][gc,phases      ] GC(21) Phase 1: Mark live objects 233.642ms
[153.162s][info][gc,phases,start] GC(21) Phase 2: Prepare for compaction
[153.197s][info][gc,phases      ] GC(21) Phase 2: Prepare for compaction 35.447ms
[153.197s][info][gc,phases,start] GC(21) Phase 3: Adjust pointers
[153.272s][info][gc,phases      ] GC(21) Phase 3: Adjust pointers 74.621ms
[153.272s][info][gc,phases,start] GC(21) Phase 4: Compact heap
[153.306s][info][gc,phases      ] GC(21) Phase 4: Compact heap 33.672ms
[153.307s][info][gc,heap        ] GC(21) Eden regions: 0->0(12)
[153.307s][info][gc,heap        ] GC(21) Survivor regions: 0->0(2)
[153.307s][info][gc,heap        ] GC(21) Old regions: 256->250
[153.307s][info][gc,heap        ] GC(21) Humongous regions: 0->0
[153.307s][info][gc,metaspace   ] GC(21) Metaspace: 14435K->14285K(1062912K)
[153.307s][info][gc             ] GC(21) Pause Full (G1 Evacuation Pause) 253M->246M(256M) 378.814ms
[153.307s][info][gc,cpu         ] GC(21) User=1.53s Sys=0.00s Real=0.38s
[199.653s][info][gc,start       ] GC(22) Pause Young (Concurrent Start) (G1 Evacuation Pause)
[199.653s][info][gc,task        ] GC(22) Using 6 workers of 8 for evacuation
[199.671s][info][gc             ] GC(22) To-space exhausted
[199.671s][info][gc,phases      ] GC(22)   Pre Evacuate Collection Set: 0.0ms
[199.671s][info][gc,phases      ] GC(22)   Evacuate Collection Set: 14.2ms
[199.671s][info][gc,phases      ] GC(22)   Post Evacuate Collection Set: 4.0ms
[199.671s][info][gc,phases      ] GC(22)   Other: 0.2ms
[199.671s][info][gc,heap        ] GC(22) Eden regions: 6->0(12)
[199.671s][info][gc,heap        ] GC(22) Survivor regions: 0->0(2)
[199.671s][info][gc,heap        ] GC(22) Old regions: 250->256
[199.672s][info][gc,heap        ] GC(22) Humongous regions: 0->0
[199.672s][info][gc,metaspace   ] GC(22) Metaspace: 14352K->14352K(1062912K)
[199.672s][info][gc             ] GC(22) Pause Young (Concurrent Start) (G1 Evacuation Pause) 252M->252M(256M) 18.567ms
[199.672s][info][gc,cpu         ] GC(22) User=0.17s Sys=0.02s Real=0.02s
[199.672s][info][gc,task        ] GC(23) Using 6 workers of 8 for full compaction
[199.672s][info][gc             ] GC(24) Concurrent Cycle
[199.672s][info][gc,marking     ] GC(24) Concurrent Clear Claimed Marks
[199.672s][info][gc,marking     ] GC(24) Concurrent Clear Claimed Marks 0.025ms
[199.672s][info][gc,marking     ] GC(24) Concurrent Scan Root Regions
[199.672s][info][gc,marking     ] GC(24) Concurrent Scan Root Regions 0.012ms
[199.672s][info][gc,start       ] GC(23) Pause Full (G1 Evacuation Pause)
[199.672s][info][gc,marking     ] GC(24) Concurrent Mark (199.672s)
[199.672s][info][gc,marking     ] GC(24) Concurrent Mark From Roots
[199.672s][info][gc,task        ] GC(24) Using 2 workers of 2 for marking
[199.672s][info][gc,phases,start] GC(23) Phase 1: Mark live objects
[199.916s][info][gc,stringtable ] GC(23) Cleaned string and symbol table, strings: 7213 processed, 318 removed, symbols: 48396 processed, 26 removed
[199.916s][info][gc,phases      ] GC(23) Phase 1: Mark live objects 243.417ms
[199.916s][info][gc,phases,start] GC(23) Phase 2: Prepare for compaction
[199.948s][info][gc,phases      ] GC(23) Phase 2: Prepare for compaction 32.442ms
[199.948s][info][gc,phases,start] GC(23) Phase 3: Adjust pointers
