[0.014s][info][gc,heap] Heap region size: 1M
[0.872s][info][gc,heap      ] GC(3) Humongous regions: 0->0
[0.872s][info][gc,metaspace ] GC(3) Metaspace: 10380K->10380K(1058816K)
[0.873s][info][gc           ] GC(3) Pause Young (Normal) (G1 Evacuation Pause) 90M->90M(512M) 130.302ms
[0.873s][info][gc,cpu       ] GC(3) User=0.92s Sys=0.06s Real=0.13s
[0.888s][info][gc,start     ] GC(4) Pause Young (Normal) (G1 Evacuation Pause)
[0.888s][info][gc,task      ] GC(4) Using 8 workers of 8 for evacuation
[1.030s][info][gc,phases    ] GC(4)   Pre Evacuate Collection Set: 0.0ms
[1.030s][info][gc,phases    ] GC(4)   Evacuate Collection Set: 141.4ms
[1.030s][info][gc,phases    ] GC(4)   Post Evacuate Collection Set: 0.3ms
[1.030s][info][gc,phases    ] GC(4)   Other: 0.2ms
[1.030s][info][gc,heap      ] GC(4) Eden regions: 29->0(32)
[1.030s][info][gc,heap      ] GC(4) Survivor regions: 4->5(5)
[1.030s][info][gc,heap      ] GC(4) Old regions: 87->116
[1.030s][info][gc,heap      ] GC(4) Humongous regions: 0->0
[1.030s][info][gc,metaspace ] GC(4) Metaspace: 10380K->10380K(1058816K)
[1.030s][info][gc           ] GC(4) Pause Young (Normal) (G1 Evacuation Pause) 119M->121M(512M) 142.303ms
[1.030s][info][gc,cpu       ] GC(4) User=0.94s Sys=0.00s Real=0.14s
[1.047s][info][gc,start     ] GC(5) Pause Young (Normal) (G1 Evacuation Pause)
[1.047s][info][gc,task      ] GC(5) Using 8 workers of 8 for evacuation
[1.207s][info][gc,phases    ] GC(5)   Pre Evacuate Collection Set: 0.0ms
[1.207s][info][gc,phases    ] GC(5)   Evacuate Collection Set: 159.4ms
[1.207s][info][gc,phases    ] GC(5)   Post Evacuate Collection Set: 0.4ms
[1.207s][info][gc,phases    ] GC(5)   Other: 0.2ms
[1.207s][info][gc,heap      ] GC(5) Eden regions: 32->0(34)
[1.207s][info][gc,heap      ] GC(5) Survivor regions: 5->5(5)
[1.207s][info][gc,heap      ] GC(5) Old regions: 116->149
[1.207s][info][gc,heap      ] GC(5) Humongous regions: 0->0
[1.207s][info][gc,metaspace ] GC(5) Metaspace: 10380K->10380K(1058816K)
[1.207s][info][gc           ] GC(5) Pause Young (Normal) (G1 Evacuation Pause) 153M->153M(512M) 160.296ms
[1.207s][info][gc,cpu       ] GC(5) User=1.20s Sys=0.02s Real=0.16s
[1.223s][info][gc,start     ] GC(6) Pause Young (Normal) (G1 Evacuation Pause)
[1.223s][info][gc,task      ] GC(6) Using 8 workers of 8 for evacuation
[1.391s][info][gc,phases    ] GC(6)   Pre Evacuate Collection Set: 0.0ms
[1.391s][info][gc,phases    ] GC(6)   Evacuate Collection Set: 167.5ms
[1.391s][info][gc,phases    ] GC(6)   Post Evacuate Collection Set: 0.4ms
[1.391s][info][gc,phases    ] GC(6)   Other: 0.2ms
[1.391s][info][gc,heap      ] GC(6) Eden regions: 34->0(35)
[1.391s][info][gc,heap      ] GC(6) Survivor regions: 5->5(5)
[1.392s][info][gc,heap      ] GC(6) Old regions: 149->183
[1.392s][info][gc,heap      ] GC(6) Humongous regions: 0->0
[1.392s][info][gc,metaspace ] GC(6) Metaspace: 10380K->10380K(1058816K)
[1.392s][info][gc           ] GC(6) Pause Young (Normal) (G1 Evacuation Pause) 187M->188M(512M) 168.400ms
[1.392s][info][gc,cpu       ] GC(6) User=1.34s Sys=0.02s Real=0.17s
